BiGG ID	Classification	NCBI Superkingdom	NCBI Kingdom	NCBI Phylum	NCBI Class	NCBI Order	NCBI Family	NCBI Genus	NCBI Species	BiGG Link
e_coli_core	Escherichia coli str. K-12 substr. MG1655	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/e_coli_core
iAB_RBC_283	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	http://bigg.ucsd.edu/models/iAB_RBC_283
iAF1260	Escherichia coli str. K-12 substr. MG1655	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iAF1260
iAF1260b	Escherichia coli str. K-12 substr. MG1655	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iAF1260b
iAF692	Methanosarcina barkeri str. Fusaro	Archeae	UNKNOWN	Eurychaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri	http://bigg.ucsd.edu/models/iAF692
iAF987	Geobacter metallireducens GS-15	Bacteria	UNKNOWN	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter metallireducens	http://bigg.ucsd.edu/models/iAF987
iAM_Pb448	Plasmodium berghei	Eukaryota	UNKNOWN	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium berghei	http://bigg.ucsd.edu/models/iAM_Pb448
iAM_Pc455	Plasmodium cynomolgi strain B	Eukaryota	UNKNOWN	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium cynomolgi	http://bigg.ucsd.edu/models/iAM_Pc455
iAM_Pf480	Plasmodium falciparum 3D7	Eukaryota	UNKNOWN	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum	http://bigg.ucsd.edu/models/iAM_Pf480
iAM_Pk459	Plasmodium knowlesi strain H	Eukaryota	UNKNOWN	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium knowlesi	http://bigg.ucsd.edu/models/iAM_Pk459
iAM_Pv461	Plasmodium vivax Sal-1	Eukaryota	UNKNOWN	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vivax	http://bigg.ucsd.edu/models/iAM_Pv461
iAPECO1_1312	Escherichia coli APEC O1	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iAPECO1_1312
iAT_PLT_636	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	http://bigg.ucsd.edu/models/iAT_PLT_636
iB21_1397	Escherichia coli BL21(DE3)	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iB21_1397
iBWG_1329	Escherichia coli BW2952	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iBWG_1329
ic_1306	Escherichia coli CFT073	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/ic_1306
iCHOv1	Cricetulus griseus	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Cricetulus	Cricetulus griseus	http://bigg.ucsd.edu/models/iCHOv1
iCHOv1_DG44	Cricetulus griseus	Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Cricetidae	Cricetulus	Cricetulus griseus	http://bigg.ucsd.edu/models/iCHOv1_DG44
iCN718	Acinetobacter baumannii AYE	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	http://bigg.ucsd.edu/models/iCN718
iCN900	Clostridioides difficile 630	Bacteria	UNKNOWN	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	http://bigg.ucsd.edu/models/iCN900
iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iE2348C_1286
iEC042_1314	 Escherichia coli 042	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEC042_1314
iEC1344_C	Escherichia coli C	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEC1344_C
iEC1349_Crooks	Escherichia coli ATCC 8739	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEC1349_Crooks
iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEC1356_Bl21DE3
iEC1364_W	Escherichia coli W	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEC1364_W
iEC1368_DH5a	Escherichia coli DH5[alpha]	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEC1368_DH5a
iEC1372_W3110	Escherichia coli str. K-12 subtr. W3110	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEC1372_W3110
iEC55989_1330	Escherichia coli 55989	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEC55989_1330
iECABU_c1320	Escherichia coli ABU 83972	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECABU_c1320
iECB_1328	Escherichia coli B str. REL606	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECB_1328
iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECBD_1354
iECD_1391	Escherichia coli BL21(DE3)	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECD_1391
iECDH10B_1368	Escherichia coli str. K-12 substr. DH10B	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECDH10B_1368
iEcDH1_1363	Escherichia coli DH1	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEcDH1_1363
iECDH1ME8569_1439	Escherichia coli DH1	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECDH1ME8569_1439
iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEcE24377_1341
iECED1_1282	Escherichia coli ED1a	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECED1_1282
iECH74115_1262	Escherichia coli O157:H7 str. EC4115	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECH74115_1262
iEcHS_1320	Escherichia coli HS	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEcHS_1320
iECIAI1_1343	Escherichia coli IAI1	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECIAI1_1343
iECIAI39_1322	Escherichia coli IAI39	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECIAI39_1322
iECNA114_1301	Escherichia coli NA114	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECNA114_1301
iECO103_1326	Escherichia coli O103:H2 str. 12009	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECO103_1326
